id,name,description,cost,category_id,shop_id,photo,identification,ref_link
196,"Nendoroid Tanjiro Kamado","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",6214,1,"Fast Anime Studio",100269292.jpg,3,https://fast-anime.ru/Figures/12841
197,"Figma Archer Jeanne dArc","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",9843,1,"Fast Anime Studio",100275811.jpg,3,https://fast-anime.ru/Figures/12875
198,"POP UP PARADE Shoto Todoroki","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4599,1,"Fast Anime Studio",100277225.jpeg,3,https://fast-anime.ru/Figures/12876
199,"POP UP PARADE Ochaco Uraraka PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4599,1,"Fast Anime Studio",100277232.jpeg,3,https://fast-anime.ru/Figures/12882
200,"Nendoroid Lio Fotia: Complete Combustion Ver.","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",6214,1,"Fast Anime Studio",100277274.jpg,3,https://fast-anime.ru/Figures/12883
201,"POP UP PARADE Natsu Dragneel","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4599,1,"Fast Anime Studio",100277281.jpg,3,https://fast-anime.ru/Figures/12897
202,"Nendoroid Asuna Stacia, the Goddess of Creation","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",5406,1,"Fast Anime Studio",100277365.jpg,3,https://fast-anime.ru/Figures/12926
203,"Nendoroid Inosuke Hashibira","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",6214,1,"Fast Anime Studio",100277630.jpeg,3,https://fast-anime.ru/Figures/12942
204,"Miss Nagatoro","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",11297,1,"Fast Anime Studio",100277802.jpg,3,https://fast-anime.ru/Figures/12955
205,"Magical Sempai","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",12266,1,"Fast Anime Studio",100277918.jpg,3,https://fast-anime.ru/Figures/13425
206,"POP UP PARADE Genos","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4599,1,"Fast Anime Studio",71a24fd1ee5c5cea4ac2808bb852454b.jpeg,3,https://fast-anime.ru/Figures/13426
207,"Figma Raphtalia","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",9843,1,"Fast Anime Studio",444e442c522536ae804848ea1371d853.jpeg,3,https://fast-anime.ru/Figures/13428
208,"Figma Altria Pendragon: Racing ver.","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",9843,1,"Fast Anime Studio",cabafe794492f5337e3247ed460642a2.jpeg,3,https://fast-anime.ru/Figures/12032
209,"POP UP PARADE Hatsune Miku PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4599,1,"Fast Anime Studio",100262617.jpg,3,https://fast-anime.ru/Figures/7231
210,"Revol Mini Ribun Mask","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",3052,1,"Fast Anime Studio",182023.jpg,3,https://fast-anime.ru/Figures/8660
211,"Super Action Giorno Giovanna","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",6775,1,"Fast Anime Studio",208257.jpg,3,https://fast-anime.ru/Figures/12362
212,"T2 ART GIRLS Maid Style Swimsuit Girl Emiri Kuriyama","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",12181,1,"Fast Anime Studio",100267926.jpg,3,https://fast-anime.ru/Figures/11685
213,"KonoSuba 2: Kazuma PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",12512,1,"Fast Anime Studio",256832.jpg,3,https://fast-anime.ru/Figures/12144
214,"Figuarts ZERO Straw Hat Luffy","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",2627,1,"Fast Anime Studio",100265041.jpg,3,https://fast-anime.ru/Figures/9754
215,"Nendoroid Mutsuki Kai-II","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",5160,1,"Fast Anime Studio",227027.jpg,3,https://fast-anime.ru/Figures/7936
216,"Nendoroid Hestia","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4157,1,"Fast Anime Studio",195481.jpg,3,https://fast-anime.ru/Figures/12261
217,"Nendoroid Kid the Phantom Thief","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",5075,1,"Fast Anime Studio",100266465.jpg,3,https://fast-anime.ru/Figures/12685
218,"Figma Genos","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",8067,1,"Fast Anime Studio",100271674.jpg,3,https://fast-anime.ru/Figures/13013
219,"That Time I Got Reincarnated as a Slime: EXQ Figure","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",2117,1,"Fast Anime Studio",100278456.jpg,3,https://fast-anime.ru/Figures/13020
220,"A Certain Scientific Railgun S: Special Figure - Misaki","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",1947,1,"Fast Anime Studio",100278468.jpg,3,https://fast-anime.ru/Figures/11196
221,"Akagi PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",17961,1,"Fast Anime Studio",248895.jpg,3,https://fast-anime.ru/Figures/11504
222,"THE IDOLM@STER Cinderella Girls: Mika Jougasaki","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",13643,1,"Fast Anime Studio",254047.jpg,3,https://fast-anime.ru/Figures/12195
223,"Date A Live: Origami Tobiichi Angel Ver. PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",17187,1,"Fast Anime Studio",100265543.jpg,3,https://fast-anime.ru/Figures/12431
224,"ARTFX J Enen no Shouboutai Tamaki Kotatsu","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",13073,1,"Fast Anime Studio",100268944.jpg,3,https://fast-anime.ru/Figures/12555
225,"Nendoroid Toshiro Hitsugaya","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4837,1,"Fast Anime Studio",100270212.jpg,3,https://fast-anime.ru/Figures/12349
226,"POP UP PARADE Saitama: Hero Costume Ver. PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4675,1,"Fast Anime Studio",100267744.jpg,3,https://fast-anime.ru/Figures/11441
227,"Nendoroid Racing Miku: 2013 Sepang Ver.","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",3868,1,"Fast Anime Studio",253321.jpg,3,https://fast-anime.ru/Figures/12715
228,"Figma Hatsune Miku V4 CHINESE","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",6052,1,"Fast Anime Studio",100271958.jpg,3,https://fast-anime.ru/Figures/12789
229,"Funko POP! Dragon Ball Z: Vegeta","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",1097,1,"Fast Anime Studio",100274104.jpg,3,https://fast-anime.ru/Figures/11989
230,"Re:ZERO -Starting Life in Another World-: Emilia","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",14042,1,"Fast Anime Studio",100262230.jpg,3,https://fast-anime.ru/Figures/11028
231,"DEAD OR ALIVE Xtreme3: Marie Rose Bunny Ver. PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",23171,1,"Fast Anime Studio",246574.jpg,3,https://fast-anime.ru/Figures/11540
232,"To Love-Ru Darkness: Haruna Sairenji PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",16380,1,"Fast Anime Studio",254379.jpg,3,https://fast-anime.ru/Figures/844
233,"Shiranui Mai II GK","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",5602,1,"Fast Anime Studio",105918.jpg,3,https://fast-anime.ru/Figures/11890
234,"Variable Action Heroes: One Piece Monkey D Luffy","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",7727,1,"Fast Anime Studio",100260925.jpg,3,https://fast-anime.ru/Figures/1921
235,"Kisei Juui Suzune Red Version Coldcast Complete","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4242,1,"Fast Anime Studio",115787.jpg,3,https://fast-anime.ru/Figures/3147
236,"Seto Kaiba PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",6613,1,"Fast Anime Studio",130465.jpg,3,https://fast-anime.ru/Figures/3404
237,"G.E.M. Kagura Demuri (Aquarion EVOL)","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",6698,1,"Fast Anime Studio",133989.jpg,3,https://fast-anime.ru/Figures/3910
238,"G.E.M Kintoki Sakata","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",6044,1,"Fast Anime Studio",139318.jpg,3,https://fast-anime.ru/Figures/3911
239,"The Idol Master 2 Azusa Miura Princess Melody Ver.","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",5806,1,"Fast Anime Studio",139324.jpg,3,https://fast-anime.ru/Figures/4285
